Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
ECE,3200,1,Electronics I,0.22,0.34,0.2,0.11,0.08,0.0,0.0,0.05,stephen hubbard,False,ECE-3200,2021
ECE,3210,1,Electronics II,0.58,0.31,0.08,0.0,0.02,0.0,0.0,0.02,stephen hubbard,False,ECE-3210,2021
ECE,3220,1,Intro Operating Sys,0.25,0.31,0.19,0.06,0.19,0.0,0.0,0.0,jacob sorber,False,ECE-3220,2021
ECE,3220,2,Intro Operating Sys,0.5,0.35,0.15,0.0,0.0,0.0,0.0,0.0,mark smotherman,False,ECE-3220,2021
ECE,3270,1,Dig Comp Design,0.25,0.3,0.16,0.0,0.07,0.0,0.0,0.18,yingjie lao,False,ECE-3270,2021
ECE,3300,1,Signals & Systems,0.15,0.14,0.28,0.11,0.2,0.0,0.0,0.12,carl baum,False,ECE-3300,2021
ECE,3520,1,Programming Systems,0.86,0.08,0.03,0.0,0.0,0.0,0.0,0.03,walter ligon,False,ECE-3520,2021
ECE,3600,1,Elect Power Engr,0.45,0.22,0.22,0.02,0.08,0.0,0.0,0.02,edward collins,False,ECE-3600,2021
ECE,3710,1,Microcontr Interface,0.3,0.38,0.18,0.04,0.08,0.0,0.0,0.01,william reid,False,ECE-3710,2021
ECE,3720,3,Micro Int Lab,0.5,0.25,0.0,0.08,0.0,0.0,0.0,0.17,apoorva kapadia,False,ECE-3720,2021
ECE,3720,4,Micro Int Lab,0.73,0.0,0.09,0.0,0.0,0.0,0.0,0.18,apoorva kapadia,False,ECE-3720,2021
ECE,3720,5,Micro Int Lab,0.85,0.08,0.08,0.0,0.0,0.0,0.0,0.0,apoorva kapadia,False,ECE-3720,2021
ECE,3720,7,Micro Int Lab,0.75,0.08,0.08,0.0,0.0,0.0,0.0,0.08,apoorva kapadia,False,ECE-3720,2021
ECE,3800,1,Electromagnetics,0.1,0.15,0.26,0.13,0.31,0.0,0.0,0.04,anthony martin,False,ECE-3800,2021
ECE,3810,1,Field Waves & Ckts,0.58,0.43,0.0,0.0,0.0,0.0,0.0,0.0,eric gordon johnson,False,ECE-3810,2021
ECE,4090,1,Intr to Linear Control Syste,0.43,0.32,0.16,0.0,0.05,0.0,0.0,0.03,richard groff,False,ECE-4090,2021
ECE,4160,1,Smart Grid,0.24,0.71,0.06,0.0,0.0,0.0,0.0,0.0,kumar venayagamoorthy,False,ECE-4160,2021
ECE,4190,1,Elec Mach and Drives,0.67,0.05,0.1,0.05,0.05,0.0,0.0,0.1,chris edrington,False,ECE-4190,2021
ECE,4200,1,Renewable Energy,0.25,0.5,0.06,0.13,0.0,0.0,0.0,0.06,johan enslin,False,ECE-4200,2021
